Date,Hours,Height,Svalbard,Tromso,Geomagnetic Event,Solar Proton Event,EXP Density,EXP Density Error,WACCM Density,EXP Magnitude,EXP Magnitude Error,WACCM Magnitude,DST Index,DST Index Gradient,Hp30 Index,Hp30 Index Gradient
2004-01-14,0.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,1.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,2.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,3.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,4.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,5.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,6.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,7.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,8.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,9.0,120,1,0,0,0,25111362257,1391706810,11465731149,10.39,9.14,10.05,-6.0,-8.0,3.0,-0.66
2004-01-14,10.0,120,1,0,0,0,25300257718,227242127,11410225507,10.4,8.35,10.05,-14.0,-3.0,2.333,0.33
2004-01-14,11.0,120,1,0,0,0,14867564502,502458797,11534907791,10.17,8.7,10.06,-17.0,-2.0,2.0,-0.33
2004-01-14,12.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,13.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,14.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,15.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,16.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,17.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,18.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,19.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,20.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,21.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,22.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14,23.0,120,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,0.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,1.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,2.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,3.0,90,1,0,0,0,1115555075,1015674213,8657616105,9.04,9.0,9.93,-24.0,0.0,3.333,0.66
2004-01-16,4.0,90,1,0,0,0,9286172269,402309696,7771557507,9.96,8.6,9.89,-24.0,-3.0,3.667,-0.66
2004-01-16,5.0,90,1,0,0,0,8131931770,272702317,7178696903,9.91,8.43,9.85,-27.0,4.0,3.667,0.33
2004-01-16,6.0,90,1,0,0,0,10830186626,583929861,6756983832,10.03,8.76,9.82,-23.0,4.0,3.0,0.0
2004-01-16,7.0,90,1,0,0,0,12363711158,1094484573,6435977773,10.09,9.03,9.8,-19.0,-4.0,2.333,1.0
2004-01-16,8.0,90,1,0,0,0,8822274850,573226529,6282401800,9.94,8.75,9.79,-23.0,1.0,3.0,0.33
2004-01-16,9.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,10.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,11.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,12.0,90,1,0,0,0,81713412563,23285611102,6269963759,10.91,10.36,9.79,-32.0,9.0,4.0,-0.33
2004-01-16,13.0,90,1,0,0,0,8715598721,485910855,6380886287,9.94,8.68,9.8,-23.0,-1.0,3.333,-0.33
2004-01-16,14.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,15.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,16.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,17.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,18.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,19.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,20.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,21.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,22.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,23.0,90,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,0.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,1.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,2.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,3.0,100,1,0,0,0,1239513014,946334641,10235100452,9.09,8.97,10.01,-24.0,0.0,3.333,0.66
2004-01-16,4.0,100,1,0,0,0,12911823292,550982515,9178574299,10.11,8.74,9.96,-24.0,-3.0,3.667,-0.66
2004-01-16,5.0,100,1,0,0,0,11262908294,359005719,8451829503,10.05,8.55,9.92,-27.0,4.0,3.667,0.33
2004-01-16,6.0,100,1,0,0,0,15117558088,811947702,7879582977,10.17,8.9,9.89,-23.0,4.0,3.0,0.0
2004-01-16,7.0,100,1,0,0,0,17306602956,1547109055,7485620336,10.23,9.18,9.87,-19.0,-4.0,2.333,1.0
2004-01-16,8.0,100,1,0,0,0,12194733926,791204630,7308271148,10.08,8.89,9.86,-23.0,1.0,3.0,0.33
2004-01-16,9.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,10.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,11.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,12.0,100,1,0,0,0,111733377140,32006603477,7501121847,11.04,10.5,9.87,-32.0,9.0,4.0,-0.33
2004-01-16,13.0,100,1,0,0,0,11516834102,631243431,7570501973,10.06,8.8,9.87,-23.0,-1.0,3.333,-0.33
2004-01-16,14.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,15.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,16.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,17.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,18.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,19.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-16,20.0,100,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
