DATE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2004-02-13,-42,-37.0,-38,-41,-41,-41,-35.0,-31,-31.0,-26,-22.0,-24.0,-22.0,-23,-22.0,-31,-34.0,-33.0,-37.0,-35.0,-39.0,-38.0,-37.0,-38
2004-02-14,-37,-35.0,-39,-36,-33,-31,-31.0,-29,-23.0,-26,-34.0,-37.0,-33.0,-29,-30.0,-31,-36.0,-33.0,-31.0,-31.0,-30.0,-32.0,-30.0,-32
2004-02-15,-32,-33.0,-38,-40,-38,-34,-34.0,-37,-28.0,-33,-44.0,-42.0,-33.0,-30,-31.0,-34,-38.0,-42.0,-38.0,-33.0,-34.0,-31.0,-32.0,-35
2004-02-16,-32,-31.0,-30,-30,-29,-28,-26.0,-24,-24.0,-23,-24.0,-26.0,-27.0,-24,-23.0,-24,-25.0,-26.0,-25.0,-25.0,-21.0,-25.0,-23.0,-24
2004-02-17,-25,-22.0,-27,-24,-23,-22,-20.0,-21,-17.0,-17,-17.0,-16.0,-18.0,-19,-19.0,-19,-20.0,-18.0,-17.0,-19.0,-22.0,-24.0,-23.0,-21
2004-02-18,-22,-20.0,-17,-15,-17,-18,-15.0,-16,-15.0,-11,-12.0,-14.0,-13.0,-11,-10.0,-15,-18.0,-14.0,-11.0,-14.0,-23.0,-22.0,-20.0,-23
2004-02-19,-28,-21.0,-20,-19,-22,-21,-19.0,-16,-13.0,-14,-14.0,-13.0,-12.0,-9,-8.0,-10,-9.0,-8.0,-9.0,-13.0,-15.0,-14.0,-14.0,-15
2004-02-20,-9,-10.0,-11,-12,-13,-12,-10.0,-11,-9.0,-5,-5.0,-6.0,-6.0,-4,-6.0,-10,-15.0,-17.0,-17.0,-22.0,-22.0,-17.0,-14.0,-12
2004-02-21,-8,-5.0,-6,-2,-1,-2,-2.0,-2,-2.0,-1,-3.0,-5.0,-5.0,-7,-4.0,-3,-5.0,-4.0,-3.0,-1.0,3.0,3.0,-1.0,-6
2004-02-22,-8,-7.0,-3,2,6,4,3.0,3,2.0,-1,-5.0,-3.0,0.0,-2,-9.0,-8,-9.0,-7.0,-5.0,-8.0,-14.0,-12.0,-5.0,-2
2004-02-23,-3,-3.0,-8,-6,-2,-2,-4.0,-2,0.0,1,3.0,-5.0,-6.0,-2,-1.0,2,3.0,3.0,-2.0,-2.0,-3.0,-1.0,-10.0,-11
2004-02-24,-13,-10.0,-12,-11,-12,-11,-15.0,-13,-10.0,-10,-13.0,-16.0,-18.0,-18,-22.0,-20,-19.0,-19.0,-20.0,-20.0,-22.0,-18.0,-14.0,-11
2004-02-25,-10,-6.0,-7,-9,-12,-13,-13.0,-13,-12.0,-12,-11.0,-11.0,-10.0,-7,-7.0,-6,-5.0,-2.0,-2.0,1.0,4.0,6.0,3.0,-1
2004-02-26,-2,-5.0,-4,-5,-7,-5,-4.0,0,2.0,1,-2.0,-2.0,-3.0,-2,3.0,9,13.0,15.0,16.0,17.0,20.0,19.0,19.0,14
2004-02-27,10,10.0,9,3,2,2,1.0,5,14.0,10,7.0,8.0,12.0,13,17.0,19,22.0,21.0,18.0,5.0,-12.0,-17.0,-10.0,0
2004-02-28,-1,-6.0,-11,-10,-14,-16,-22.0,-22,-19.0,-10,-13.0,-23.0,-24.0,-19,-12.0,-11,-11.0,-8.0,-9.0,-12.0,-16.0,-20.0,-26.0,-20
2004-02-29,-15,-17.0,-20,-16,-17,-21,-16.0,-11,-7.0,-7,-9.0,-21.0,-22.0,-16,-14.0,-16,-16.0,-16.0,-20.0,-16.0,-10.0,-13.0,-11.0,-1
2004-03-01,-6,-7.0,-11,-11,-10,-13,-13.0,-10,-12.0,-16,-14.0,-13.0,-13.0,-10,-13.0,-20,-24.0,-15.0,-7.0,-11.0,-17.0,-24.0,-20.0,-18
2004-03-02,-23,-25.0,-22,-20,-25,-24,-19.0,-15,-16.0,-10,-9.0,-13.0,-15.0,-14,-22.0,-26,-21.0,-15.0,-11.0,-11.0,-14.0,-14.0,-6.0,0
2004-03-03,1,0.0,-7,-11,-12,-10,-7.0,-5,-2.0,-7,-13.0,-17.0,-13.0,-15,-14.0,-14,-11.0,-10.0,-8.0,-5.0,-2.0,0.0,3.0,3
2004-03-04,6,5.0,5,3,-4,-3,-2.0,-4,-3.0,-4,-7.0,-11.0,-12.0,-8,-7.0,-7,-6.0,-5.0,-2.0,-1.0,-3.0,-2.0,0.0,2
2004-03-05,1,-1.0,-6,-7,-4,-4,-8.0,-4,-3.0,0,-4.0,-3.0,0.0,2,3.0,3,2.0,2.0,5.0,6.0,2.0,0.0,0.0,-2
